name,canonical_name,target_type
Kajuluru,"Kajuluru,Andhra Pradesh,India",Municipality
Jagannathpur,"Jagannathpur,Jharkhand,India",Municipality
Dergaon Circle,"Dergaon Circle,Assam,India",Municipality
Ballabgarh,"Ballabgarh,Haryana,India",Municipality
Sohawal,"Sohawal,Uttar Pradesh,India",Municipality
Markaccho,"Markaccho,Jharkhand,India",Municipality
Ghansaur,"Ghansaur,Madhya Pradesh,India",Municipality
Nadoti,"Nadoti,Rajasthan,India",Municipality
Palus,"Palus,Maharashtra,India",Municipality
Koliana,"Koliana,Odisha,India",Municipality
Lilia,"Lilia,Gujarat,India",Municipality
Peshrar,"Peshrar,Jharkhand,India",Municipality
Dhuri,"Dhuri,Punjab,India",Municipality
Vedurukuppam,"Vedurukuppam,Andhra Pradesh,India",Municipality
Medak,"Medak,Telangana,India",Municipality
Pedda Cherlopalli,"Pedda Cherlopalli,Andhra Pradesh,India",Municipality
Palghar,"Palghar,Maharashtra,India",Municipality
Amadagur,"Amadagur,Andhra Pradesh,India",Municipality
Kamalapuram,"Kamalapuram,Andhra Pradesh,India",Municipality
Rajnagar,"Rajnagar,Odisha,India",Municipality
Karanjia,"Karanjia,Odisha,India",Municipality
Muli,"Muli,Gujarat,India",Municipality
Biswan,"Biswan,Uttar Pradesh,India",Municipality
Kodakandla,"Kodakandla,Telangana,India",Municipality
Sitapur,"Sitapur,Uttar Pradesh,India",Municipality
Chotila,"Chotila,Gujarat,India",Municipality
Chintamani,"Chintamani,Karnataka,India",Municipality
Rakar,"Rakar,Himachal Pradesh,India",Municipality
Bahuriband,"Bahuriband,Madhya Pradesh,India",Municipality
Palakollu,"Palakollu,Andhra Pradesh,India",Municipality
Pen,"Pen,Maharashtra,India",Municipality
Komana,"Komana,Odisha,India",Municipality
Sanchor,"Sanchor,Rajasthan,India",Municipality
Kumharsain,"Kumharsain,Himachal Pradesh,India",Municipality
Ranapur,"Ranapur,Odisha,India",Municipality
